year_of_exercise,product_name,product_brand,material_id_code,material_description,business_division,site
2024,Ulvatrix,Ulvatrix,MAT-20025,Cold Storage - Warehouse Pallet Slot,Consumer Healthcare,Clearwater Site
2026,Norvelin,Norvelin,MAT-20144,Folding Carton,Consumer Healthcare,Bridgeholm Site
2026,Yenzura,Yenzura,MAT-20072,Ethanol (Pharma Grade),Vaccines,Ashford Site
2026,Hemazol,Hemazol,MAT-20114,Reusable Shipping Tote,Specialty Care,Kingsley Site
2024,Zolvarin,Zolvarin,MAT-20056,Inbound Ocean Freight - Container,Pharmaceuticals,Eastgate Site
2024,Calmera,Calmera,MAT-20022,Inbound Air Freight - Temperature Controlled,Pharmaceuticals,Bridgeholm Site
2026,Pulmatrix,Pulmatrix,MAT-20026,Stainless Steel Reactor Component,Vaccines,Fenwick Site
2026,Xantivo,Xantivo,MAT-20008,Glass Vial 2ml,Pharmaceuticals,Rivermill Site
2024,Pulmatrix,Pulmatrix,MAT-20024,Cold Chain Transport - 2-8C,Consumer Healthcare,Northfield Site
2024,Vezanta,Vezanta,MAT-20059,Stainless Steel Reactor Component,Vaccines,Fenwick Site
2026,Dermafyx,Dermafyx,MAT-20011,HDPE Bottle 100ml,Consumer Healthcare,Eastgate Site
2025,Ulvatrix,Ulvatrix,MAT-20088,Inbound Air Freight - Temperature Controlled,Specialty Care,Rivermill Site
2024,Florivex,Florivex,MAT-20092,Stainless Steel Reactor Component,Specialty Care,Clearwater Site
2025,Yenzura,Yenzura,MAT-20072,Ethanol (Pharma Grade),Vaccines,Bridgeholm Site
2024,Pulmatrix,Pulmatrix,MAT-20025,Cold Storage - Warehouse Pallet Slot,Pharmaceuticals,Fenwick Site
2024,Kaldrin,Kaldrin,MAT-20097,Comparator Drug Batch,Pharmaceuticals,Clearwater Site
2025,Florivex,Florivex,MAT-20061,HPLC Consumable Kit,Consumer Healthcare,Meadowbrook Site
2026,Torvexa,Torvexa,MAT-20081,Corrugated Shipping Case,Vaccines,Solaris Park Site
2026,Yenzura,Yenzura,MAT-20129,Pipette Tips (case),Vaccines,Solaris Park Site
2025,Kaldrin,Kaldrin,MAT-20076,Prefilled Syringe 1ml,Specialty Care,Northfield Site
2026,Kaldrin,Kaldrin,MAT-20035,Synthetic Peptide Concentrate,Specialty Care,Bridgeholm Site
2026,Ulvatrix,Ulvatrix,MAT-20008,Glass Vial 2ml,Pharmaceuticals,Meadowbrook Site
2024,Pulmatrix,Pulmatrix,MAT-20025,Cold Storage - Warehouse Pallet Slot,Pharmaceuticals,Fenwick Site
2026,Ulvatrix,Ulvatrix,MAT-20072,Ethanol (Pharma Grade),Consumer Healthcare,Rivermill Site
2025,Ulvatrix,Ulvatrix,MAT-20112,Patient Information Leaflet,Specialty Care,Ashford Site
2026,Immunara,Immunara,MAT-20045,Corrugated Shipping Box,Vaccines,Clearwater Site
2026,Ostreva,Ostreva,MAT-20007,Water for Injection,Vaccines,Eastgate Site
2026,Ulvatrix,Ulvatrix,MAT-20008,Glass Vial 2ml,Specialty Care,Solaris Park Site
2024,Immunara,Immunara,MAT-20140,Freeze-dried Vaccine Vial,Specialty Care,Ashford Site
2024,Lumivax,Lumivax,MAT-20085,Aseptic Fill & Finish Service,Consumer Healthcare,Kingsley Site
2024,Estrivon,Estrivon,MAT-20046,Patient Information Leaflet,Pharmaceuticals,Clearwater Site
2026,Mendovia,Mendovia,MAT-20070,Film Coating Powder,Vaccines,Kingsley Site
2024,Estrivon,Estrivon,MAT-20119,Contract Packaging Service,Consumer Healthcare,Kingsley Site
2024,Yenzura,Yenzura,MAT-20072,Ethanol (Pharma Grade),Consumer Healthcare,Rivermill Site
2025,Calmera,Calmera,MAT-20137,Methylparaben,Vaccines,Northfield Site
2026,Estrivon,Estrivon,MAT-20056,Inbound Ocean Freight - Container,Consumer Healthcare,Kingsley Site
2024,Norvelin,Norvelin,MAT-20046,Patient Information Leaflet,Vaccines,Ashford Site
2026,Wintrelis,Wintrelis,MAT-20002,Synthetic Peptide Concentrate,Specialty Care,Eastgate Site
2026,Ulvatrix,Ulvatrix,MAT-20086,Contract Packaging Service,Vaccines,Northfield Site
2025,Ostreva,Ostreva,MAT-20083,Fermentation Batch Service,Consumer Healthcare,Meadowbrook Site
2026,Ulvatrix,Ulvatrix,MAT-20046,Patient Information Leaflet,Consumer Healthcare,Rivermill Site
2024,Glucovex,Glucovex,MAT-20069,Microcrystalline Cellulose,Pharmaceuticals,Solaris Park Site
2026,Vezanta,Vezanta,MAT-20113,Pressure-sensitive Label,Pharmaceuticals,Meadowbrook Site
2026,Torvexa,Torvexa,MAT-20106,Water for Injection,Vaccines,Rivermill Site
2024,Vezanta,Vezanta,MAT-20033,Paracetamol API,Vaccines,Rivermill Site
2024,Florivex,Florivex,MAT-20112,Patient Information Leaflet,Consumer Healthcare,Bridgeholm Site
2024,Wintrelis,Wintrelis,MAT-20055,Inbound Air Freight - Temperature Controlled,Vaccines,Clearwater Site
2025,Sentrivax,Sentrivax,MAT-20091,Cold Storage - Warehouse Pallet Slot,Specialty Care,Clearwater Site
2024,Kaldrin,Kaldrin,MAT-20058,Cold Storage - Warehouse Pallet Slot,Pharmaceuticals,Bridgeholm Site
2025,Lumivax,Lumivax,MAT-20084,Custom Synthesis Batch,Specialty Care,Meadowbrook Site
2024,Kaldrin,Kaldrin,MAT-20138,Isopropyl Alcohol,Pharmaceuticals,Northfield Site
2024,Norvelin,Norvelin,MAT-20002,Synthetic Peptide Concentrate,Specialty Care,Ashford Site
2026,Vezanta,Vezanta,MAT-20093,Filling Line Spare Parts,Vaccines,Fenwick Site
2025,Renovex,Renovex,MAT-20080,Pressure-sensitive Label,Specialty Care,Meadowbrook Site
2026,Norvelin,Norvelin,MAT-20144,Folding Carton,Pharmaceuticals,Kingsley Site
2026,Ostreva,Ostreva,MAT-20027,Filling Line Spare Parts,Vaccines,Meadowbrook Site
2024,Wintrelis,Wintrelis,MAT-20012,Folding Carton,Vaccines,Clearwater Site
2024,Estrivon,Estrivon,MAT-20143,HDPE Bottle 250ml,Vaccines,Eastgate Site
2025,Advelra,Advelra,MAT-20145,Patient Information Leaflet,Pharmaceuticals,Meadowbrook Site
2026,Florivex,Florivex,MAT-20112,Patient Information Leaflet,Vaccines,Rivermill Site
2026,Kaldrin,Kaldrin,MAT-20103,Enteric Coating Blend,Pharmaceuticals,Rivermill Site
2026,Quilava,Quilava,MAT-20099,Ibuprofen API,Vaccines,Clearwater Site
2026,Torvexa,Torvexa,MAT-20054,Inbound Road Freight - Pallet,Consumer Healthcare,Kingsley Site
2026,Xantivo,Xantivo,MAT-20030,Single-use Bioreactor Bag,Vaccines,Bridgeholm Site
2024,Xantivo,Xantivo,MAT-20030,Single-use Bioreactor Bag,Pharmaceuticals,Northfield Site
2025,Hemazol,Hemazol,MAT-20056,Inbound Ocean Freight - Container,Specialty Care,Northfield Site
2026,Yenzura,Yenzura,MAT-20072,Ethanol (Pharma Grade),Pharmaceuticals,Northfield Site
2025,Advelra,Advelra,MAT-20119,Contract Packaging Service,Vaccines,Bridgeholm Site
2024,Lumivax,Lumivax,MAT-20114,Reusable Shipping Tote,Vaccines,Rivermill Site
2025,Advelra,Advelra,MAT-20036,Microcrystalline Cellulose,Consumer Healthcare,Eastgate Site
2024,Immunara,Immunara,MAT-20077,HDPE Bottle 100ml,Vaccines,Bridgeholm Site
2024,Xantivo,Xantivo,MAT-20032,Clinical Trial Kit,Vaccines,Clearwater Site
2024,Ulvatrix,Ulvatrix,MAT-20025,Cold Storage - Warehouse Pallet Slot,Pharmaceuticals,Northfield Site
2025,Pulmatrix,Pulmatrix,MAT-20004,Enteric Coating Blend,Specialty Care,Eastgate Site
2025,Pulmatrix,Pulmatrix,MAT-20021,Inbound Road Freight - Pallet,Vaccines,Eastgate Site
2024,Sentrivax,Sentrivax,MAT-20091,Cold Storage - Warehouse Pallet Slot,Specialty Care,Solaris Park Site
2025,Glucovex,Glucovex,MAT-20015,Corrugated Shipping Case,Pharmaceuticals,Bridgeholm Site
2026,Lumivax,Lumivax,MAT-20084,Custom Synthesis Batch,Specialty Care,Eastgate Site
2025,Norvelin,Norvelin,MAT-20040,Water for Injection,Vaccines,Clearwater Site
2025,Sentrivax,Sentrivax,MAT-20000,Paracetamol API,Pharmaceuticals,Rivermill Site
2024,Glucovex,Glucovex,MAT-20069,Microcrystalline Cellulose,Vaccines,Solaris Park Site
2026,Hemazol,Hemazol,MAT-20109,Prefilled Syringe 2.25ml,Pharmaceuticals,Bridgeholm Site
2026,Renovex,Renovex,MAT-20103,Enteric Coating Blend,Consumer Healthcare,Eastgate Site
2026,Pulmatrix,Pulmatrix,MAT-20059,Stainless Steel Reactor Component,Specialty Care,Fenwick Site
2026,Xantivo,Xantivo,MAT-20148,Stretch Pallet Wrap,Specialty Care,Ashford Site
2025,Quilava,Quilava,MAT-20084,Custom Synthesis Batch,Pharmaceuticals,Clearwater Site
2026,Zolvarin,Zolvarin,MAT-20139,Water for Injection,Vaccines,Northfield Site
2026,Vezanta,Vezanta,MAT-20007,Water for Injection,Pharmaceuticals,Meadowbrook Site
2024,Hemazol,Hemazol,MAT-20109,Prefilled Syringe 2.25ml,Specialty Care,Kingsley Site
2025,Pulmatrix,Pulmatrix,MAT-20059,Stainless Steel Reactor Component,Specialty Care,Bridgeholm Site
2024,Xantivo,Xantivo,MAT-20032,Clinical Trial Kit,Specialty Care,Kingsley Site
2026,Sentrivax,Sentrivax,MAT-20034,Recombinant Protein Concentrate,Consumer Healthcare,Fenwick Site
2025,Wintrelis,Wintrelis,MAT-20002,Synthetic Peptide Concentrate,Pharmaceuticals,Eastgate Site
2025,Xantivo,Xantivo,MAT-20008,Glass Vial 2ml,Consumer Healthcare,Clearwater Site
2025,Sentrivax,Sentrivax,MAT-20021,Inbound Road Freight - Pallet,Consumer Healthcare,Kingsley Site
2024,Dermafyx,Dermafyx,MAT-20011,HDPE Bottle 100ml,Specialty Care,Solaris Park Site
2026,Kaldrin,Kaldrin,MAT-20035,Synthetic Peptide Concentrate,Vaccines,Fenwick Site
2024,Lumivax,Lumivax,MAT-20013,Patient Information Leaflet,Specialty Care,Northfield Site
2025,Zolvarin,Zolvarin,MAT-20044,HDPE Bottle 250ml,Vaccines,Kingsley Site
2024,Ulvatrix,Ulvatrix,MAT-20011,HDPE Bottle 100ml,Consumer Healthcare,Ashford Site
2026,Estrivon,Estrivon,MAT-20046,Patient Information Leaflet,Specialty Care,Kingsley Site
2024,Kaldrin,Kaldrin,MAT-20103,Enteric Coating Blend,Specialty Care,Ashford Site
2026,Advelra,Advelra,MAT-20036,Microcrystalline Cellulose,Specialty Care,Meadowbrook Site
2026,Wintrelis,Wintrelis,MAT-20003,Microcrystalline Cellulose,Consumer Healthcare,Bridgeholm Site
2026,Mendovia,Mendovia,MAT-20093,Filling Line Spare Parts,Consumer Healthcare,Clearwater Site
2024,Immunara,Immunara,MAT-20077,HDPE Bottle 100ml,Vaccines,Kingsley Site
2025,Renovex,Renovex,MAT-20043,Prefilled Syringe 2.25ml,Specialty Care,Ashford Site
2025,Hemazol,Hemazol,MAT-20064,Comparator Drug Batch,Consumer Healthcare,Solaris Park Site
2026,Norvelin,Norvelin,MAT-20002,Synthetic Peptide Concentrate,Pharmaceuticals,Clearwater Site
2026,Kaldrin,Kaldrin,MAT-20035,Synthetic Peptide Concentrate,Pharmaceuticals,Meadowbrook Site
2025,Kaldrin,Kaldrin,MAT-20058,Cold Storage - Warehouse Pallet Slot,Vaccines,Bridgeholm Site
2024,Norvelin,Norvelin,MAT-20144,Folding Carton,Vaccines,Rivermill Site
2024,Brenzolix,Brenzolix,MAT-20029,Lab Reagent Kit,Vaccines,Ashford Site
2025,Brenzolix,Brenzolix,MAT-20029,Lab Reagent Kit,Consumer Healthcare,Bridgeholm Site
2024,Ulvatrix,Ulvatrix,MAT-20046,Patient Information Leaflet,Vaccines,Meadowbrook Site
2025,Sentrivax,Sentrivax,MAT-20112,Patient Information Leaflet,Pharmaceuticals,Solaris Park Site
2026,Advelra,Advelra,MAT-20088,Inbound Air Freight - Temperature Controlled,Vaccines,Northfield Site
2025,Lumivax,Lumivax,MAT-20013,Patient Information Leaflet,Vaccines,Kingsley Site
2026,Ulvatrix,Ulvatrix,MAT-20011,HDPE Bottle 100ml,Consumer Healthcare,Rivermill Site
2025,Sentrivax,Sentrivax,MAT-20080,Pressure-sensitive Label,Vaccines,Northfield Site
2025,Estrivon,Estrivon,MAT-20056,Inbound Ocean Freight - Container,Pharmaceuticals,Northfield Site
2024,Advelra,Advelra,MAT-20036,Microcrystalline Cellulose,Consumer Healthcare,Clearwater Site
2026,Zolvarin,Zolvarin,MAT-20091,Cold Storage - Warehouse Pallet Slot,Pharmaceuticals,Kingsley Site
2026,Zolvarin,Zolvarin,MAT-20139,Water for Injection,Vaccines,Northfield Site
2025,Mendovia,Mendovia,MAT-20092,Stainless Steel Reactor Component,Pharmaceuticals,Bridgeholm Site
2026,Immunara,Immunara,MAT-20128,Lab Reagent Kit,Specialty Care,Bridgeholm Site
2025,Wintrelis,Wintrelis,MAT-20077,HDPE Bottle 100ml,Specialty Care,Kingsley Site
2026,Brenzolix,Brenzolix,MAT-20029,Lab Reagent Kit,Pharmaceuticals,Rivermill Site
2025,Renovex,Renovex,MAT-20006,Ethanol (Pharma Grade),Specialty Care,Northfield Site
2024,Advelra,Advelra,MAT-20119,Contract Packaging Service,Specialty Care,Fenwick Site
2024,Xantivo,Xantivo,MAT-20148,Stretch Pallet Wrap,Vaccines,Meadowbrook Site
2025,Kaldrin,Kaldrin,MAT-20076,Prefilled Syringe 1ml,Vaccines,Kingsley Site
2024,Ulvatrix,Ulvatrix,MAT-20072,Ethanol (Pharma Grade),Specialty Care,Meadowbrook Site
2025,Wintrelis,Wintrelis,MAT-20077,HDPE Bottle 100ml,Specialty Care,Fenwick Site
2025,Florivex,Florivex,MAT-20054,Inbound Road Freight - Pallet,Specialty Care,Eastgate Site
2024,Zolvarin,Zolvarin,MAT-20024,Cold Chain Transport - 2-8C,Consumer Healthcare,Fenwick Site
2026,Ulvatrix,Ulvatrix,MAT-20072,Ethanol (Pharma Grade),Specialty Care,Eastgate Site
2025,Lumivax,Lumivax,MAT-20085,Aseptic Fill & Finish Service,Vaccines,Eastgate Site
2026,Dermafyx,Dermafyx,MAT-20066,Ibuprofen API,Consumer Healthcare,Solaris Park Site
2026,Glucovex,Glucovex,MAT-20069,Microcrystalline Cellulose,Consumer Healthcare,Ashford Site
2025,Advelra,Advelra,MAT-20054,Inbound Road Freight - Pallet,Consumer Healthcare,Ashford Site
2025,Norvelin,Norvelin,MAT-20002,Synthetic Peptide Concentrate,Consumer Healthcare,Fenwick Site
2026,Mendovia,Mendovia,MAT-20100,Recombinant Protein Concentrate,Specialty Care,Fenwick Site
2024,Florivex,Florivex,MAT-20092,Stainless Steel Reactor Component,Vaccines,Fenwick Site
2025,Advelra,Advelra,MAT-20145,Patient Information Leaflet,Vaccines,Meadowbrook Site
2026,Lumivax,Lumivax,MAT-20013,Patient Information Leaflet,Vaccines,Rivermill Site
2026,Florivex,Florivex,MAT-20134,Synthetic Peptide Concentrate,Pharmaceuticals,Northfield Site
2024,Yenzura,Yenzura,MAT-20018,Custom Synthesis Batch,Vaccines,Eastgate Site
2024,Calmera,Calmera,MAT-20021,Inbound Road Freight - Pallet,Vaccines,Eastgate Site
2025,Vezanta,Vezanta,MAT-20093,Filling Line Spare Parts,Vaccines,Clearwater Site
2025,Zolvarin,Zolvarin,MAT-20086,Contract Packaging Service,Consumer Healthcare,Bridgeholm Site
2026,Lumivax,Lumivax,MAT-20013,Patient Information Leaflet,Consumer Healthcare,Eastgate Site
2026,Florivex,Florivex,MAT-20061,HPLC Consumable Kit,Consumer Healthcare,Eastgate Site
2025,Wintrelis,Wintrelis,MAT-20002,Synthetic Peptide Concentrate,Consumer Healthcare,Rivermill Site
2024,Norvelin,Norvelin,MAT-20002,Synthetic Peptide Concentrate,Consumer Healthcare,Ashford Site
2026,Mendovia,Mendovia,MAT-20070,Film Coating Powder,Specialty Care,Rivermill Site
2025,Brenzolix,Brenzolix,MAT-20065,Clinical Trial Kit,Pharmaceuticals,Fenwick Site
2026,Kaldrin,Kaldrin,MAT-20058,Cold Storage - Warehouse Pallet Slot,Consumer Healthcare,Ashford Site
2025,Pulmatrix,Pulmatrix,MAT-20118,Aseptic Fill & Finish Service,Specialty Care,Solaris Park Site
2025,Zolvarin,Zolvarin,MAT-20086,Contract Packaging Service,Consumer Healthcare,Eastgate Site
2025,Kaldrin,Kaldrin,MAT-20035,Synthetic Peptide Concentrate,Consumer Healthcare,Rivermill Site
2024,Pulmatrix,Pulmatrix,MAT-20129,Pipette Tips (case),Consumer Healthcare,Kingsley Site
2024,Pulmatrix,Pulmatrix,MAT-20118,Aseptic Fill & Finish Service,Consumer Healthcare,Kingsley Site
2024,Glucovex,Glucovex,MAT-20135,Microcrystalline Cellulose,Vaccines,Ashford Site
2026,Renovex,Renovex,MAT-20045,Corrugated Shipping Box,Vaccines,Solaris Park Site
2026,Dermafyx,Dermafyx,MAT-20085,Aseptic Fill & Finish Service,Specialty Care,Rivermill Site
2026,Calmera,Calmera,MAT-20121,Inbound Air Freight - Temperature Controlled,Vaccines,Bridgeholm Site
2024,Ulvatrix,Ulvatrix,MAT-20072,Ethanol (Pharma Grade),Pharmaceuticals,Bridgeholm Site
2026,Quilava,Quilava,MAT-20013,Patient Information Leaflet,Vaccines,Bridgeholm Site
2025,Calmera,Calmera,MAT-20036,Microcrystalline Cellulose,Specialty Care,Bridgeholm Site
2024,Quilava,Quilava,MAT-20084,Custom Synthesis Batch,Consumer Healthcare,Bridgeholm Site
2024,Ostreva,Ostreva,MAT-20010,Prefilled Syringe 1ml,Pharmaceuticals,Fenwick Site
2024,Florivex,Florivex,MAT-20065,Clinical Trial Kit,Consumer Healthcare,Clearwater Site
2026,Lumivax,Lumivax,MAT-20085,Aseptic Fill & Finish Service,Consumer Healthcare,Solaris Park Site
2026,Quilava,Quilava,MAT-20084,Custom Synthesis Batch,Pharmaceuticals,Bridgeholm Site
2024,Torvexa,Torvexa,MAT-20020,Contract Packaging Service,Specialty Care,Ashford Site
2025,Glucovex,Glucovex,MAT-20135,Microcrystalline Cellulose,Specialty Care,Ashford Site
2026,Calmera,Calmera,MAT-20021,Inbound Road Freight - Pallet,Specialty Care,Clearwater Site
2026,Florivex,Florivex,MAT-20065,Clinical Trial Kit,Pharmaceuticals,Meadowbrook Site
2024,Hemazol,Hemazol,MAT-20056,Inbound Ocean Freight - Container,Vaccines,Kingsley Site
2026,Ulvatrix,Ulvatrix,MAT-20086,Contract Packaging Service,Specialty Care,Clearwater Site
2025,Immunara,Immunara,MAT-20138,Isopropyl Alcohol,Pharmaceuticals,Northfield Site
2024,Dermafyx,Dermafyx,MAT-20011,HDPE Bottle 100ml,Specialty Care,Solaris Park Site
2024,Torvexa,Torvexa,MAT-20086,Contract Packaging Service,Vaccines,Fenwick Site
2024,Florivex,Florivex,MAT-20061,HPLC Consumable Kit,Pharmaceuticals,Bridgeholm Site
2025,Ulvatrix,Ulvatrix,MAT-20126,Filling Line Spare Parts,Consumer Healthcare,Meadowbrook Site
2026,Florivex,Florivex,MAT-20112,Patient Information Leaflet,Specialty Care,Meadowbrook Site
2026,Yenzura,Yenzura,MAT-20016,Stretch Pallet Wrap,Specialty Care,Kingsley Site
2025,Mendovia,Mendovia,MAT-20012,Folding Carton,Consumer Healthcare,Ashford Site
2026,Lumivax,Lumivax,MAT-20013,Patient Information Leaflet,Vaccines,Bridgeholm Site
2024,Yenzura,Yenzura,MAT-20129,Pipette Tips (case),Vaccines,Eastgate Site
2025,Calmera,Calmera,MAT-20018,Custom Synthesis Batch,Specialty Care,Bridgeholm Site
2026,Ulvatrix,Ulvatrix,MAT-20088,Inbound Air Freight - Temperature Controlled,Vaccines,Meadowbrook Site
2026,Renovex,Renovex,MAT-20103,Enteric Coating Blend,Specialty Care,Rivermill Site
2024,Pulmatrix,Pulmatrix,MAT-20129,Pipette Tips (case),Consumer Healthcare,Meadowbrook Site
2024,Lumivax,Lumivax,MAT-20013,Patient Information Leaflet,Vaccines,Clearwater Site
2024,Quilava,Quilava,MAT-20013,Patient Information Leaflet,Specialty Care,Bridgeholm Site
2024,Dermafyx,Dermafyx,MAT-20085,Aseptic Fill & Finish Service,Vaccines,Northfield Site
2026,Glucovex,Glucovex,MAT-20103,Enteric Coating Blend,Consumer Healthcare,Clearwater Site
2024,Sentrivax,Sentrivax,MAT-20000,Paracetamol API,Vaccines,Kingsley Site
2026,Quilava,Quilava,MAT-20084,Custom Synthesis Batch,Consumer Healthcare,Fenwick Site
2024,Torvexa,Torvexa,MAT-20015,Corrugated Shipping Case,Vaccines,Rivermill Site
2025,Pulmatrix,Pulmatrix,MAT-20026,Stainless Steel Reactor Component,Consumer Healthcare,Fenwick Site
2026,Estrivon,Estrivon,MAT-20046,Patient Information Leaflet,Specialty Care,Kingsley Site
2024,Glucovex,Glucovex,MAT-20135,Microcrystalline Cellulose,Pharmaceuticals,Fenwick Site
2026,Yenzura,Yenzura,MAT-20129,Pipette Tips (case),Specialty Care,Northfield Site
2026,Zolvarin,Zolvarin,MAT-20139,Water for Injection,Vaccines,Eastgate Site
2025,Wintrelis,Wintrelis,MAT-20016,Stretch Pallet Wrap,Pharmaceuticals,Rivermill Site
2024,Torvexa,Torvexa,MAT-20054,Inbound Road Freight - Pallet,Pharmaceuticals,Northfield Site
2026,Hemazol,Hemazol,MAT-20109,Prefilled Syringe 2.25ml,Specialty Care,Meadowbrook Site
2026,Estrivon,Estrivon,MAT-20056,Inbound Ocean Freight - Container,Consumer Healthcare,Rivermill Site
2026,Hemazol,Hemazol,MAT-20056,Inbound Ocean Freight - Container,Pharmaceuticals,Kingsley Site
2026,Brenzolix,Brenzolix,MAT-20105,Isopropyl Alcohol,Consumer Healthcare,Bridgeholm Site
2026,Dermafyx,Dermafyx,MAT-20066,Ibuprofen API,Pharmaceuticals,Meadowbrook Site
2024,Lumivax,Lumivax,MAT-20085,Aseptic Fill & Finish Service,Consumer Healthcare,Solaris Park Site
2025,Xantivo,Xantivo,MAT-20071,Sodium Benzoate,Specialty Care,Rivermill Site
2026,Lumivax,Lumivax,MAT-20114,Reusable Shipping Tote,Vaccines,Clearwater Site
2025,Zolvarin,Zolvarin,MAT-20056,Inbound Ocean Freight - Container,Specialty Care,Rivermill Site
2026,Glucovex,Glucovex,MAT-20135,Microcrystalline Cellulose,Specialty Care,Kingsley Site
2024,Hemazol,Hemazol,MAT-20140,Freeze-dried Vaccine Vial,Vaccines,Kingsley Site
2026,Brenzolix,Brenzolix,MAT-20065,Clinical Trial Kit,Consumer Healthcare,Bridgeholm Site
2025,Lumivax,Lumivax,MAT-20084,Custom Synthesis Batch,Consumer Healthcare,Meadowbrook Site
2026,Pulmatrix,Pulmatrix,MAT-20021,Inbound Road Freight - Pallet,Pharmaceuticals,Fenwick Site
2025,Norvelin,Norvelin,MAT-20052,Aseptic Fill & Finish Service,Specialty Care,Kingsley Site
2025,Florivex,Florivex,MAT-20112,Patient Information Leaflet,Pharmaceuticals,Rivermill Site
2025,Norvelin,Norvelin,MAT-20052,Aseptic Fill & Finish Service,Specialty Care,Kingsley Site
2026,Brenzolix,Brenzolix,MAT-20071,Sodium Benzoate,Vaccines,Ashford Site
2024,Quilava,Quilava,MAT-20099,Ibuprofen API,Pharmaceuticals,Eastgate Site
2026,Sentrivax,Sentrivax,MAT-20080,Pressure-sensitive Label,Specialty Care,Clearwater Site
2025,Advelra,Advelra,MAT-20119,Contract Packaging Service,Consumer Healthcare,Eastgate Site
2024,Renovex,Renovex,MAT-20080,Pressure-sensitive Label,Consumer Healthcare,Meadowbrook Site
2026,Calmera,Calmera,MAT-20137,Methylparaben,Pharmaceuticals,Northfield Site
2026,Dermafyx,Dermafyx,MAT-20039,Ethanol (Pharma Grade),Consumer Healthcare,Solaris Park Site
2026,Lumivax,Lumivax,MAT-20013,Patient Information Leaflet,Specialty Care,Meadowbrook Site
2025,Brenzolix,Brenzolix,MAT-20065,Clinical Trial Kit,Pharmaceuticals,Solaris Park Site
2026,Wintrelis,Wintrelis,MAT-20052,Aseptic Fill & Finish Service,Pharmaceuticals,Eastgate Site
2024,Quilava,Quilava,MAT-20084,Custom Synthesis Batch,Consumer Healthcare,Eastgate Site
2025,Quilava,Quilava,MAT-20075,PVC Blister Pack,Specialty Care,Eastgate Site
2024,Renovex,Renovex,MAT-20094,HPLC Consumable Kit,Consumer Healthcare,Meadowbrook Site
2024,Pulmatrix,Pulmatrix,MAT-20004,Enteric Coating Blend,Vaccines,Kingsley Site
2024,Lumivax,Lumivax,MAT-20084,Custom Synthesis Batch,Specialty Care,Kingsley Site
2025,Brenzolix,Brenzolix,MAT-20029,Lab Reagent Kit,Specialty Care,Meadowbrook Site
2026,Xantivo,Xantivo,MAT-20148,Stretch Pallet Wrap,Vaccines,Eastgate Site
2026,Renovex,Renovex,MAT-20094,HPLC Consumable Kit,Specialty Care,Meadowbrook Site
2025,Lumivax,Lumivax,MAT-20084,Custom Synthesis Batch,Vaccines,Fenwick Site
2026,Sentrivax,Sentrivax,MAT-20144,Folding Carton,Vaccines,Ashford Site
2025,Dermafyx,Dermafyx,MAT-20011,HDPE Bottle 100ml,Vaccines,Northfield Site
2025,Vezanta,Vezanta,MAT-20007,Water for Injection,Pharmaceuticals,Rivermill Site
2025,Zolvarin,Zolvarin,MAT-20044,HDPE Bottle 250ml,Pharmaceuticals,Solaris Park Site
2024,Kaldrin,Kaldrin,MAT-20035,Synthetic Peptide Concentrate,Pharmaceuticals,Bridgeholm Site
2024,Quilava,Quilava,MAT-20013,Patient Information Leaflet,Specialty Care,Ashford Site
2026,Vezanta,Vezanta,MAT-20012,Folding Carton,Vaccines,Solaris Park Site
2025,Glucovex,Glucovex,MAT-20135,Microcrystalline Cellulose,Specialty Care,Ashford Site
2025,Advelra,Advelra,MAT-20145,Patient Information Leaflet,Vaccines,Northfield Site
2024,Ulvatrix,Ulvatrix,MAT-20025,Cold Storage - Warehouse Pallet Slot,Pharmaceuticals,Fenwick Site
2026,Glucovex,Glucovex,MAT-20069,Microcrystalline Cellulose,Specialty Care,Northfield Site
2026,Florivex,Florivex,MAT-20092,Stainless Steel Reactor Component,Specialty Care,Eastgate Site
2025,Mendovia,Mendovia,MAT-20012,Folding Carton,Pharmaceuticals,Meadowbrook Site
2026,Calmera,Calmera,MAT-20036,Microcrystalline Cellulose,Vaccines,Rivermill Site
2024,Ulvatrix,Ulvatrix,MAT-20008,Glass Vial 2ml,Specialty Care,Ashford Site
2024,Estrivon,Estrivon,MAT-20056,Inbound Ocean Freight - Container,Consumer Healthcare,Rivermill Site
2024,Advelra,Advelra,MAT-20054,Inbound Road Freight - Pallet,Consumer Healthcare,Rivermill Site
2024,Torvexa,Torvexa,MAT-20040,Water for Injection,Consumer Healthcare,Fenwick Site
2024,Zolvarin,Zolvarin,MAT-20024,Cold Chain Transport - 2-8C,Pharmaceuticals,Kingsley Site
2026,Quilava,Quilava,MAT-20013,Patient Information Leaflet,Consumer Healthcare,Rivermill Site
2024,Vezanta,Vezanta,MAT-20033,Paracetamol API,Consumer Healthcare,Bridgeholm Site
2024,Pulmatrix,Pulmatrix,MAT-20004,Enteric Coating Blend,Specialty Care,Eastgate Site
2025,Yenzura,Yenzura,MAT-20016,Stretch Pallet Wrap,Specialty Care,Solaris Park Site
2024,Florivex,Florivex,MAT-20112,Patient Information Leaflet,Pharmaceuticals,Ashford Site
2024,Kaldrin,Kaldrin,MAT-20097,Comparator Drug Batch,Consumer Healthcare,Northfield Site
