ghg_category,source_system,data_source,company_code,indicator_name,business_division,year,site_country,site_name,parent_supplier_name,supplier_name,supplier_number,supplier_address,supplier_city,supplier_country,category_level_1_enriched,category_level_2_enriched,category_level_3_enriched,category_level_4_enriched,co2_factor,co2_factor_final,co2_factor_name_final,co2_factor_name_supplier_submissions,gplt,gplt1,gplt2,material,material_code,co2e_mt,tonnage,uom,quantity_corrected,invoice_quantity
Category 1 - Purchased Goods and Services,SAP Ariba,S/4HANA Procurement,CC-126,Methylparaben,Consumer Healthcare,2025,Poland,Eastgate Site,Everline Group,Atlas Polymer Group,SUP-10027,63 Industrial Way,Castlewood,Belgium,Raw Materials,Excipients,Preservatives,Preservatives - Grade Premium,0.4115,0.4115,Spend EF Atlas Polymer Group v1,Methylparaben Supplier Submission,Services,Contract Manufacturing,Synthesis,Methylparaben,MAT-20005,267.957,,,,
Category 2 - Capital Goods,SAP Ariba,SAP Ariba,CC-197,Methylparaben,Consumer Healthcare,2026,China,Ashford Site,Everline Group,Atlas Polymer Group,SUP-10027,668 Commerce Rd,Castlewood,Belgium,Raw Materials,Excipients,Preservatives,Preservatives - Grade Premium,0.4115,0.4115,Spend EF Atlas Polymer Group v1,Methylparaben Supplier Submission,Services,Contract Manufacturing,Synthesis,Methylparaben,MAT-20005,237.0659,,,,
Category 5 - Waste Generated in Operations,Coupa,S/4HANA Procurement,CC-106,Fermentation Batch Service,Consumer Healthcare,2025,Switzerland,Northfield Site,Helix Group,Ridgeline Glass Works,SUP-10011,978 Industrial Way,Stonegate,United Kingdom,Contract Manufacturing,Drug Substance CMO,Fermentation Services,Fermentation Services - Grade B,1.3426,1.3426,Fermentation Services - Database Default EF,Fermentation Batch Service Supplier Submission,Services,Contract Manufacturing,Fill & Finish,Fermentation Batch Service,MAT-20017,93.8303,69.887,kg,65238.02,72162.78
Category 4 - Upstream Transportation and Distribution,S/4HANA Procurement,SAP Ariba,CC-109,Fermentation Batch Service,Consumer Healthcare,2026,Ireland,Ashford Site,Helix Group,Ridgeline Glass Works,SUP-10011,766 Commerce Rd,Stonegate,United Kingdom,Contract Manufacturing,Drug Substance CMO,Fermentation Services,Fermentation Services - Grade B,1.3426,1.3426,Fermentation Services - Database Default EF,Fermentation Batch Service Supplier Submission,Services,Contract Manufacturing,Fill & Finish,Fermentation Batch Service,MAT-20017,100.4842,74.843,unit,70300.55,79238.29
Category 12 - End of Life Treatment of Sold Products,SAP Ariba,Coupa,CC-105,Isopropyl Alcohol,Specialty Care,2025,France,Meadowbrook Site,Sterling Industries,Meridian Labs,SUP-10033,954 Factory Lane,Millbridge,Germany,Raw Materials,Solvents,Organic Solvents,Organic Solvents - Grade A,240.4943,240.4943,Isopropyl Alcohol EF - Cascade Materials Ltd,Isopropyl Alcohol Supplier Submission,Logistics,Freight,Road,Isopropyl Alcohol,MAT-20105,46007.7621,191.305,litre,185376.47,205872.92
Category 2 - Capital Goods,Coupa,S/4HANA Procurement,CC-138,Isopropyl Alcohol,Pharmaceuticals,2026,Germany,Kingsley Site,Sterling Industries,Meridian Labs,SUP-10033,708 Commerce Rd,Millbridge,Germany,Raw Materials,Solvents,Organic Solvents,Organic Solvents - Grade A,240.4943,240.4943,Isopropyl Alcohol EF - Cascade Materials Ltd,Isopropyl Alcohol Supplier Submission,Logistics,Freight,Road,Isopropyl Alcohol,MAT-20105,42442.9151,176.482,unit,170578.96,160530.77
Category 4 - Upstream Transportation and Distribution,Coupa,S/4HANA Procurement,CC-183,Cold Storage - Warehouse Pallet Slot,Vaccines,2025,Poland,Solaris Park Site,Cascade Polymer Group,Bluepeak Group,SUP-10026,882 Industrial Way,Fairmont,Singapore,Logistics,Cold Chain,Cold Storage,Cold Storage - Grade Std,2.6817,2.6817,Cold Storage - Legacy Supplier EF,Cold Storage - Warehouse Pallet Slot Supplier Submission,Logistics,Freight,Ocean,Cold Storage - Warehouse Pallet Slot,MAT-20091,900.4156,335.763,tonne,361246.0,368071.14
Category 1 - Purchased Goods and Services,SAP Ariba,Coupa,CC-123,Cold Storage - Warehouse Pallet Slot,Specialty Care,2026,United States,Solaris Park Site,Cascade Polymer Group,Bluepeak Group,SUP-10026,966 Harbor Ave,Fairmont,Singapore,Logistics,Cold Chain,Cold Storage,Cold Storage - Grade Std,2.6817,2.6817,Cold Storage - Legacy Supplier EF,Cold Storage - Warehouse Pallet Slot Supplier Submission,Logistics,Freight,Ocean,Cold Storage - Warehouse Pallet Slot,MAT-20091,879.9087,328.116,tonne,331333.02,352708.42
Category 12 - End of Life Treatment of Sold Products,S/4HANA Procurement,S/4HANA Procurement,CC-112,Lab Reagent Kit,Pharmaceuticals,2025,France,Ashford Site,Meridian Industries plc,Cascade Materials Ltd,SUP-10030,384 Harbor Ave,Riverton,Poland,Lab & Clinical Supplies,Lab Consumables,Reagents,Reagents - Grade A,4.4175,4.4175,Reagents - Industry Average EF,Lab Reagent Kit Supplier Submission,Logistics,Warehousing,Cold Chain,Lab Reagent Kit,MAT-20095,630.5142,142.731,kg,130804.0,152155.13
Category 1 - Purchased Goods and Services,Coupa,S/4HANA Procurement,CC-199,Lab Reagent Kit,Vaccines,2026,India,Solaris Park Site,Meridian Industries plc,Cascade Materials Ltd,SUP-10030,689 Industrial Way,Riverton,Poland,Lab & Clinical Supplies,Lab Consumables,Reagents,Reagents - Grade A,4.4175,4.4175,Reagents - Industry Average EF,Lab Reagent Kit Supplier Submission,Logistics,Warehousing,Cold Chain,Lab Reagent Kit,MAT-20095,468.1932,105.986,tonne,101266.16,109750.33
Category 5 - Waste Generated in Operations,Coupa,Coupa,CC-199,Stretch Pallet Wrap,Consumer Healthcare,2025,China,Northfield Site,NovaChem Holdings,Solara Manufacturing Co.,SUP-10017,493 Industrial Way,Riverton,Ireland,Packaging Materials,Tertiary Packaging,Pallet Wrap,Pallet Wrap - Grade Std,0.9016,0.9016,Pallet Wrap - Industry Average EF,Stretch Pallet Wrap Supplier Submission,Capital,Equipment,Process Equipment,Stretch Pallet Wrap,MAT-20115,83.1681,92.245,unit,91137.6,91799.8
Category 2 - Capital Goods,S/4HANA Procurement,Coupa,CC-128,Stretch Pallet Wrap,Specialty Care,2026,Poland,Ashford Site,NovaChem Holdings,Solara Manufacturing Co.,SUP-10017,674 Factory Lane,Riverton,Ireland,Packaging Materials,Tertiary Packaging,Pallet Wrap,Pallet Wrap - Grade Std,0.9016,0.9016,Pallet Wrap - Industry Average EF,Stretch Pallet Wrap Supplier Submission,Capital,Equipment,Process Equipment,Stretch Pallet Wrap,MAT-20115,83.8046,92.951,kg,88551.15,97139.08
Category 5 - Waste Generated in Operations,S/4HANA Procurement,SAP Ariba,CC-138,Paracetamol API,Pharmaceuticals,2025,India,Solaris Park Site,BrightLab Corp,Cascade Glass Works,SUP-10021,369 Factory Lane,Harborview,Poland,Raw Materials,Active Pharmaceutical Ingredients,Small Molecule API,Small Molecule API - Grade A,29.2414,29.2414,Paracetamol API EF - Ferrolux Glass Works,Paracetamol API Supplier Submission,Logistics,Freight,Air,Paracetamol API,MAT-20033,12336.6542,421.89,tonne,384237.85,452147.59
Category 1 - Purchased Goods and Services,Coupa,S/4HANA Procurement,CC-132,Paracetamol API,Specialty Care,2026,France,Solaris Park Site,BrightLab Corp,Cascade Glass Works,SUP-10021,785 Harbor Ave,Harborview,Poland,Raw Materials,Active Pharmaceutical Ingredients,Small Molecule API,Small Molecule API - Grade A,29.2414,29.2414,Paracetamol API EF - Ferrolux Glass Works,Paracetamol API Supplier Submission,Logistics,Freight,Air,Paracetamol API,MAT-20033,9664.4874,330.507,unit,300611.89,300824.38
Category 4 - Upstream Transportation and Distribution,Coupa,S/4HANA Procurement,CC-143,Contract Packaging Service,Specialty Care,2025,United States,Rivermill Site,Meridian Industries plc,Clarion Packaging Ltd,SUP-10015,229 Harbor Ave,Stonegate,Poland,Contract Manufacturing,Drug Product CMO,Packaging Services,Packaging Services - Grade Premium,0.8089,0.8089,Spend EF Clarion Packaging Ltd v2,Contract Packaging Service Supplier Submission,Direct Materials,Packaging,Primary Pack,Contract Packaging Service,MAT-20119,257.574,,,,
Category 5 - Waste Generated in Operations,Coupa,SAP Ariba,CC-150,Contract Packaging Service,Consumer Healthcare,2026,Singapore,Fenwick Site,Meridian Industries plc,Clarion Packaging Ltd,SUP-10015,479 Commerce Rd,Stonegate,Poland,Contract Manufacturing,Drug Product CMO,Packaging Services,Packaging Services - Grade Premium,0.8089,0.8089,Spend EF Clarion Packaging Ltd v2,Contract Packaging Service Supplier Submission,Direct Materials,Packaging,Primary Pack,Contract Packaging Service,MAT-20119,267.9747,,,,
Category 12 - End of Life Treatment of Sold Products,Coupa,Coupa,CC-195,Inbound Air Freight - Temperature Controlled,Consumer Healthcare,2025,France,Fenwick Site,NovaChem Holdings,NovaChem Industries,SUP-10039,951 Industrial Way,Oakhaven,Ireland,Logistics,Inbound Freight,Air Freight,Air Freight - Grade Premium,0.1204,0.1204,Logistics - Spend-Based (EEIO) 2025 (Alt Method),Inbound Air Freight - Temperature Controlled Supplier Submission,Services,Professional Services,Consulting,Inbound Air Freight - Temperature Controlled,MAT-20022,348.6132,,,,
Category 5 - Waste Generated in Operations,SAP Ariba,SAP Ariba,CC-167,Inbound Air Freight - Temperature Controlled,Consumer Healthcare,2026,Singapore,Rivermill Site,NovaChem Holdings,NovaChem Industries,SUP-10039,796 Commerce Rd,Oakhaven,Ireland,Logistics,Inbound Freight,Air Freight,Air Freight - Grade Premium,0.1204,0.1204,Logistics - Spend-Based (EEIO) 2025 (Alt Method),Inbound Air Freight - Temperature Controlled Supplier Submission,Services,Professional Services,Consulting,Inbound Air Freight - Temperature Controlled,MAT-20022,359.4608,,,,
Category 4 - Upstream Transportation and Distribution,SAP Ariba,Coupa,CC-113,Synthetic Peptide Concentrate,Consumer Healthcare,2025,Switzerland,Kingsley Site,Cascade Polymer Group,Bluepeak Group,SUP-10026,456 Industrial Way,Fairmont,Singapore,Raw Materials,Active Pharmaceutical Ingredients,Peptide API,Peptide API - Grade B,0.3192,0.3192,Raw Materials - Spend-Based (EEIO) 2024 (Alt Method),Synthetic Peptide Concentrate Supplier Submission,Indirect Materials,MRO,Consumables,Synthetic Peptide Concentrate,MAT-20101,294.6222,,,,
Category 5 - Waste Generated in Operations,S/4HANA Procurement,S/4HANA Procurement,CC-162,Synthetic Peptide Concentrate,Vaccines,2026,United States,Rivermill Site,Cascade Polymer Group,Bluepeak Group,SUP-10026,570 Harbor Ave,Fairmont,Singapore,Raw Materials,Active Pharmaceutical Ingredients,Peptide API,Peptide API - Grade B,0.3192,0.3192,Raw Materials - Spend-Based (EEIO) 2024 (Alt Method),Synthetic Peptide Concentrate Supplier Submission,Indirect Materials,MRO,Consumables,Synthetic Peptide Concentrate,MAT-20101,296.5182,,,,
Category 5 - Waste Generated in Operations,SAP Ariba,SAP Ariba,CC-159,Synthetic Peptide Concentrate,Pharmaceuticals,2025,Ireland,Kingsley Site,Sterling Industries,Vantis Packaging Ltd,SUP-10020,845 Factory Lane,Harborview,Belgium,Raw Materials,Active Pharmaceutical Ingredients,Peptide API,Peptide API - Grade A,1.2416,1.2416,Spend EF Vantis Packaging Ltd v3,Synthetic Peptide Concentrate Supplier Submission,Capital,Equipment,Lab Equipment,Synthetic Peptide Concentrate,MAT-20134,20.9406,,,,
Category 1 - Purchased Goods and Services,Coupa,Coupa,CC-178,Synthetic Peptide Concentrate,Pharmaceuticals,2026,Singapore,Northfield Site,Sterling Industries,Vantis Packaging Ltd,SUP-10020,777 Industrial Way,Harborview,Belgium,Raw Materials,Active Pharmaceutical Ingredients,Peptide API,Peptide API - Grade A,1.2416,1.2416,Spend EF Vantis Packaging Ltd v3,Synthetic Peptide Concentrate Supplier Submission,Capital,Equipment,Lab Equipment,Synthetic Peptide Concentrate,MAT-20134,21.034,,,,
Category 5 - Waste Generated in Operations,S/4HANA Procurement,S/4HANA Procurement,CC-122,Inbound Air Freight - Temperature Controlled,Consumer Healthcare,2025,India,Rivermill Site,Cascade Polymer Group,NovaChem Labs,SUP-10028,408 Commerce Rd,Millbridge,Poland,Logistics,Inbound Freight,Air Freight,Air Freight - Grade Std,0.7424,0.7424,Spend EF NovaChem Labs v1,Inbound Air Freight - Temperature Controlled Supplier Submission,Direct Materials,APIs & Actives,API - Biologic,Inbound Air Freight - Temperature Controlled,MAT-20055,186.2898,,,,
Category 4 - Upstream Transportation and Distribution,S/4HANA Procurement,SAP Ariba,CC-185,Inbound Air Freight - Temperature Controlled,Specialty Care,2026,France,Clearwater Site,Cascade Polymer Group,NovaChem Labs,SUP-10028,694 Commerce Rd,Millbridge,Poland,Logistics,Inbound Freight,Air Freight,Air Freight - Grade Std,0.7424,0.7424,Spend EF NovaChem Labs v1,Inbound Air Freight - Temperature Controlled Supplier Submission,Direct Materials,APIs & Actives,API - Biologic,Inbound Air Freight - Temperature Controlled,MAT-20055,187.1418,,,,
Category 12 - End of Life Treatment of Sold Products,Coupa,SAP Ariba,CC-162,Alu-Alu Blister Pack,Pharmaceuticals,2025,France,Eastgate Site,Sterling Industries,Cascade Excipients Ltd,SUP-10022,137 Commerce Rd,Riverton,Germany,Packaging Materials,Primary Packaging,Blister Packs,Blister Packs - Grade Premium,0.2466,0.2466,Packaging Materials - Spend-Based (EEIO) 2026 (Alt Method),Alu-Alu Blister Pack Supplier Submission,Indirect Materials,Lab Supplies,Reagents,Alu-Alu Blister Pack,MAT-20009,205.308,,,,
Category 1 - Purchased Goods and Services,SAP Ariba,SAP Ariba,CC-144,Alu-Alu Blister Pack,Pharmaceuticals,2026,Ireland,Kingsley Site,Sterling Industries,Cascade Excipients Ltd,SUP-10022,8 Industrial Way,Riverton,Germany,Packaging Materials,Primary Packaging,Blister Packs,Blister Packs - Grade Premium,0.2466,0.2466,Packaging Materials - Spend-Based (EEIO) 2026 (Alt Method),Alu-Alu Blister Pack Supplier Submission,Indirect Materials,Lab Supplies,Reagents,Alu-Alu Blister Pack,MAT-20009,173.545,,,,
Category 12 - End of Life Treatment of Sold Products,SAP Ariba,Coupa,CC-151,Filling Line Spare Parts,Vaccines,2025,India,Ashford Site,NovaChem Holdings,Solara Manufacturing Co.,SUP-10017,730 Factory Lane,Riverton,Ireland,Capital Equipment,Process Equipment,Filling Lines,Filling Lines - Grade Std,1.1193,1.1193,Spend EF Solara Manufacturing Co. v6,Filling Line Spare Parts Supplier Submission,Indirect Materials,Lab Supplies,Reagents,Filling Line Spare Parts,MAT-20060,182.6726,,,,
Category 1 - Purchased Goods and Services,S/4HANA Procurement,Coupa,CC-166,Filling Line Spare Parts,Pharmaceuticals,2026,Ireland,Northfield Site,NovaChem Holdings,Solara Manufacturing Co.,SUP-10017,681 Industrial Way,Riverton,Ireland,Capital Equipment,Process Equipment,Filling Lines,Filling Lines - Grade Std,1.1193,1.1193,Spend EF Solara Manufacturing Co. v6,Filling Line Spare Parts Supplier Submission,Indirect Materials,Lab Supplies,Reagents,Filling Line Spare Parts,MAT-20060,207.797,,,,
Category 1 - Purchased Goods and Services,S/4HANA Procurement,SAP Ariba,CC-143,Water for Injection,Vaccines,2025,Singapore,Clearwater Site,Cascade Polymer Group,Trueform Industries,SUP-10029,243 Factory Lane,Stonegate,Singapore,Raw Materials,Solvents,Aqueous Solvents,Aqueous Solvents - Grade Std,0.7457,0.7457,Spend EF Trueform Industries v2,Water for Injection Supplier Submission,Indirect Materials,Lab Supplies,Plasticware,Water for Injection,MAT-20106,303.9529,,,,
Category 4 - Upstream Transportation and Distribution,S/4HANA Procurement,SAP Ariba,CC-118,Water for Injection,Specialty Care,2026,Switzerland,Kingsley Site,Cascade Polymer Group,Trueform Industries,SUP-10029,107 Industrial Way,Stonegate,Singapore,Raw Materials,Solvents,Aqueous Solvents,Aqueous Solvents - Grade Std,0.7457,0.7457,Spend EF Trueform Industries v2,Water for Injection Supplier Submission,Indirect Materials,Lab Supplies,Plasticware,Water for Injection,MAT-20106,323.8141,,,,
